MEDIA_NAME,CORRECT_ANSWER,USER_1,USER_2,USER_3,USER_4,USER_6,USER_7,USER_8,USER_9,USER_10,USER_11,USER_12,USER_13,USER_14,USER_15,USER_16,USER_17,USER_18,USER_19,USER_20,USER_21,USER_22,USER_24,USER_27,USER_28,USER_29,USER_31,USER_32,USER_33,USER_34,USER_35,USER_36,USER_37,USER_38,USER_39,USER_40,USER_41,USER_42,USER_43,USER_44,USER_45,USER_46,USER_47,USER_48,USER_49,USER_51
NewMedia1,b,a,a,a,a,a,a,a,b,b,b,b,a,a,a,a,a,a,b,b,a,b,b,b,a,b,a,a,b,a,b,a,a,a,a,a,a,b,b,a,a,a,a,a,b,b
NewMedia2,a,b,a,a,b,b,b,a,b,a,a,a,b,a,b,b,a,b,a,a,a,b,a,b,b,a,a,b,a,a,b,a,a,a,a,a,a,b,b,a,a,a,a,b,a,a
NewMedia3,a,a,b,b,a,a,b,b,b,a,b,a,b,b,b,b,a,a,a,b,a,b,a,b,a,b,b,a,a,a,b,a,a,a,b,b,a,b,b,a,a,a,a,b,a,a
NewMedia4,a,a,a,a,a,b,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a
NewMedia5,b,c,c,a,c,b,b,a,c,a,b,b,b,b,a,b,b,a,b,a,c,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,c,a,b,b,b,b,b,a,b,b
NewMedia6,a,a,a,a,b,b,a,a,a,b,a,a,b,c,b,a,a,a,a,a,c,c,a,a,c,a,a,a,a,a,b,a,a,a,a,a,a,b,c,a,a,a,a,a,a,a
NewMedia7,b,b,b,b,b,d,b,b,b,d,d,a,b,c,b,b,a,b,b,b,d,b,b,b,b,b,a,b,b,b,a,a,b,a,b,b,d,b,b,a,b,b,b,b,b,d
NewMedia8,c,b,c,b,a,b,c,c,a,c,c,c,b,c,b,c,c,c,b,b,b,c,c,c,a,b,c,c,b,b,d,b,b,c,c,c,b,b,c,c,b,c,c,c,c,c
NewMedia9,b,b,b,b,b,b,b,b,c,b,a,b,b,b,b,b,b,b,d,b,a,b,b,b,a,b,a,b,b,b,b,b,b,b,b,b,d,a,b,b,d,b,a,a,b,b
NewMedia10,d,a,a,a,c,a,a,a,a,a,b,a,a,b,a,b,a,a,b,a,a,a,a,a,a,a,a,b,a,b,a,a,a,a,a,c,a,b,a,d,a,a,b,a,b,a
NewMedia11,b,b,b,b,b,b,b,b,c,c,d,b,b,c,b,b,b,b,b,c,c,b,b,b,b,b,b,b,c,b,c,b,a,b,b,c,d,b,b,b,c,b,b,b,b,b
NewMedia12,d,d,d,d,d,d,d,d,c,d,d,b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,b,d,d,d,d,d
NewMedia13,d,a,d,d,d,d,d,d,d,c,d,b,d,d,d,d,d,d,d,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
NewMedia14,a,a,d,a,a,a,d,a,b,a,a,a,d,a,a,b,a,a,a,a,a,b,a,a,c,b,a,a,a,a,b,a,d,a,a,a,c,a,a,a,a,a,a,a,b,a
NewMedia15,c,c,c,d,a,c,c,c,d,b,a,c,c,b,a,c,b,c,c,c,a,c,c,c,a,a,d,c,c,c,a,c,a,c,c,d,c,c,c,c,d,c,a,a,c,c
NewMedia16,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b
NewMedia17,b,b,b,a,b,a,b,a,b,a,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,a,b,b,b,b,c,b,b,b,b,b
NewMedia18,a,b,a,a,b,b,a,c,c,c,a,c,a,b,b,a,a,a,a,c,a,a,a,a,a,b,a,b,a,a,b,a,a,a,a,a,a,b,a,a,b,a,c,a,a,a
NewMedia19,b,d,b,b,b,a,b,b,d,c,b,b,b,c,b,b,a,b,b,d,a,b,b,b,b,b,b,d,b,b,a,b,c,b,b,b,a,b,b,b,b,b,b,b,c,b
NewMedia20,c,c,d,c,a,a,b,c,d,d,c,c,c,d,c,c,d,c,c,c,c,c,c,c,c,d,c,c,c,c,c,c,d,c,c,c,c,c,c,c,c,c,c,c,c,c
NewMedia21,b,b,d,b,b,b,b,b,b,b,d,b,b,c,c,b,c,a,c,b,b,c,b,a,b,b,c,b,b,b,a,b,c,b,b,b,b,a,b,b,b,b,b,b,a,b
NewMedia22,d,a,d,d,d,a,d,d,d,a,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,a,a,d,d,c,d,d,d,d,d,d,d,d,d,d,d
NewMedia23,d,d,c,d,d,d,c,d,d,c,d,c,c,a,d,d,c,d,d,d,d,c,c,d,d,d,d,d,d,d,c,d,d,d,c,c,d,d,c,d,d,c,c,a,c,d
NewMedia24,b,b,b,b,b,b,b,b,a,b,b,b,b,d,b,b,b,b,b,b,d,b,b,a,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
