MEDIA_NAME,AVERAGE_TIME
NewMedia1,54.27884266666667
NewMedia2,43.89239422222222
NewMedia3,45.54895177777777
NewMedia4,64.28558666666666
NewMedia5,67.28904200000001
NewMedia6,91.24055933333334
NewMedia7,63.29875666666667
NewMedia8,80.99878755555555
NewMedia9,81.41484266666669
NewMedia10,54.52923755555556
NewMedia11,59.03281133333334
NewMedia12,28.155706000000006
NewMedia13,54.087197777777774
NewMedia14,62.53744977777777
NewMedia15,42.05769422222222
NewMedia16,20.034954888888887
NewMedia17,27.07618755555556
NewMedia18,56.372127333333324
NewMedia19,60.68443244444444
NewMedia20,50.43980066666666
NewMedia21,47.111541777777774
NewMedia22,92.18905777777778
NewMedia23,111.26734155555555
NewMedia24,82.44877977777779
