USER_ID,ANSWER_TIME_16,TOTAL_USER_TIME,RATIO_16,RATIO_TOTAL
USER_1,7.24011,1413.49292,0.3613739107551106,0.9814068714533245
USER_2,10.0874,922.1937200000001,0.5034900281005542,0.6402913242884183
USER_3,14.770079999999998,1201.3321100000003,0.7372155356432214,0.8341008086913668
USER_4,25.25342,1381.6401199999998,1.2604680240136303,0.9592910501763219
USER_6,15.117679999999998,1047.9743799999999,0.7545652128412856,0.7276225038601802
USER_7,16.12976,991.0543899999999,0.8050809242872489,0.68810220027843
USER_8,18.02539,1581.1740499999999,0.8996970594626413,1.0978301027738309
USER_9,19.80719,1122.4873699999998,0.9886316245705548,0.7793578605526869
USER_10,24.08105,1616.15454,1.2019517954270524,1.1221175206781275
USER_11,30.12201,1501.19648,1.5034728137424085,1.0423006157494892
USER_12,13.932620000000002,1199.9233299999999,0.6954155912637888,0.8331226740627431
USER_13,21.80298,1748.10061,1.0882470223125702,1.2137294261408456
USER_14,34.84476,1939.2380499999995,1.7391983257883166,1.346438684428462
USER_15,11.57465,857.44354,0.5777227882064833,0.5953344159935824
USER_16,14.79004,2158.7522200000003,0.7382117944374487,1.4988502825137031
USER_17,20.48352,1572.66374,1.0223891250865695,1.091921281729154
USER_18,18.96997,1457.8016699999998,0.9468436592547801,1.0121710239299477
USER_19,10.89819,885.5875699999999,0.543958799030987,0.6148751890965622
USER_20,35.80225,2001.05566,1.7869892993797276,1.3893594704984922
USER_21,13.51025,1117.9428500000001,0.674333936608592,0.7762025400750598
USER_22,10.74408,1329.25616,0.5362667427795668,0.9229201723526564
USER_24,10.81738,1229.3618199999999,0.5399253484717937,0.8535622079029338
USER_27,15.74805,2435.3066799999997,0.7860287226667854,1.6908657100653763
USER_28,5.96191,1216.88214,0.29757541422298855,0.8448974006497509
USER_29,27.87183,1067.51515,1.3911601076505211,0.7411899195013487
USER_31,10.4425,933.3716100000001,0.5212140510379322,0.6480522814882247
USER_32,16.759520000000002,1730.6600599999997,0.8365139873259512,1.2016202210859483
USER_33,20.99268,1767.9424,1.0478027086371058,1.2275058439583002
USER_34,11.56152,1027.5815699999998,0.5770674335988578,0.7134635055524687
USER_35,34.10889,1226.05759,1.7024690192298026,0.8512680372134462
USER_36,26.51196,1760.7175299999997,1.3232852355810978,1.2224895209452658
USER_37,31.094240000000006,1785.5771799999998,1.5519995014934846,1.2397499054768872
USER_38,14.61572,1889.9441200000003,0.7295110012004908,1.3122132553948744
USER_39,17.23535,1191.29565,0.8602639784109767,0.8271323614712232
USER_40,37.47864000000001,1925.6168300000002,1.8706625599034992,1.3369812908211585
USER_41,27.35596,1525.62084,1.3654116094452122,1.0592587726639573
USER_42,36.53271,1230.5127000000002,1.8234485778782834,0.8543612791428651
USER_43,7.8042,1332.77651,0.3895292025003811,0.9253643980230056
USER_44,25.25879,1598.7128899999998,1.2607360555629792,1.1100075518786487
USER_45,32.34644,1390.5536900000002,1.6145002661293186,0.9654798599845666
USER_46,31.79077,2104.25063,1.5867652398673844,1.4610091061099812
USER_47,12.72687,951.1410600000002,0.635233274573438,0.6603898461729819
USER_48,19.39795,1460.58886,0.9682053245229836,1.0141062068936135
USER_49,21.15314,1459.6000900000004,1.0558117109478118,1.013419690775594
USER_51,18.01855,1524.1907,0.8993556561483871,1.0582658075041882
