USER_ID,AVERAGE_TIME,STANDARD_DEVIATION
USER_1,58.89553833333334,26.075640763451315
USER_2,38.42473833333333,21.69245190654875
USER_3,50.05550458333334,26.472591182742196
USER_4,57.56833833333334,42.72168256438026
USER_6,43.665599166666674,23.64977315999721
USER_7,41.29393291666667,26.63550731746135
USER_8,65.88225208333334,36.55418110240173
USER_9,46.770307083333336,34.65141337261686
USER_10,67.3397725,33.97376033132007
USER_11,62.54985333333334,44.021704517516945
USER_12,49.99680541666667,33.193117349435305
USER_13,72.83752541666668,39.646130586402336
USER_14,80.80158541666667,52.041260996169825
USER_15,35.726814166666664,20.57701000136012
USER_16,89.94800916666668,55.254309096001954
USER_17,65.52765583333333,52.01980798753185
USER_18,60.741736249999995,30.51415478027558
USER_19,36.89948208333334,20.58927057901922
USER_20,83.37731916666667,47.2255336663178
USER_21,46.58095208333333,25.959001884900317
USER_22,55.38567333333333,46.00159300823167
USER_24,51.22340916666667,27.1892976034859
USER_27,101.47111166666667,56.04971271370493
USER_28,50.703422499999995,26.040055964360985
USER_29,44.479797916666676,21.5047099485663
USER_31,38.890483749999994,20.9252956493763
USER_32,72.11083583333334,32.341414110887676
USER_33,73.66426666666666,49.81710582964129
USER_34,42.815898749999995,21.77217294287583
USER_35,51.085732916666664,28.551952330230776
USER_36,73.36323041666667,41.74352924052376
USER_37,74.39904916666666,48.300443106069594
USER_38,78.74767166666668,44.6658138682711
USER_39,49.63731875,27.014243004184586
USER_40,80.23403458333334,39.307132115984686
USER_41,63.567535,27.26952931640598
USER_42,51.27136250000001,26.128682067172413
USER_43,55.53235458333333,31.890746679521055
USER_44,66.61303708333332,40.87628851846421
USER_45,57.939737083333334,31.250803128887142
USER_46,87.67710958333333,42.93781571322431
USER_47,39.630877500000004,20.129607521865285
USER_48,60.85786916666667,35.105193351648715
USER_49,60.81667041666666,37.49436549733123
USER_51,63.50794583333334,44.52844504003274
USER_52,35.434029583333334,15.008474181060311
