ID,MEDIA_NAME,CORRECT_ANSWER,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,USER_11,USER_12,USER_13,USER_14,USER_15,USER_16,USER_17,USER_18,USER_19,USER_20,USER_21,USER_22,USER_23,USER_24,USER_27,USER_28,USER_29,USER_31,USER_32,USER_33,USER_34,USER_35,USER_36,USER_37,USER_38,USER_39,USER_40,USER_41,USER_42,USER_43,USER_44,USER_45,USER_46,USER_47,USER_48,USER_49,USER_50,USER_51
1,NewMedia1,b,a,a,a,a,a,a,a,a,b,b,b,b,a,a,a,a,a,a,b,b,a,b,b,b,b,a,b,a,a,b,a,b,a,a,a,a,a,a,b,b,a,a,a,a,a,b,b,b
2,NewMedia2,a,b,a,a,b,b,b,b,a,b,a,a,a,b,a,b,b,a,b,a,a,a,b,a,a,b,b,a,a,b,a,a,b,a,a,a,a,a,a,b,b,a,a,a,a,b,a,b,a
3,NewMedia3,a,a,b,b,a,a,a,b,b,b,a,b,a,b,b,b,b,a,a,a,b,a,b,a,a,b,a,b,b,a,a,a,b,a,a,a,b,b,a,b,b,a,a,a,a,b,a,b,a
4,NewMedia4,a,a,a,a,a,a,b,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a
5,NewMedia5,b,c,c,a,c,b,b,b,a,c,a,b,b,b,b,a,b,b,a,b,a,c,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,c,a,b,b,b,b,b,a,b,b,b
6,NewMedia6,a,a,a,a,b,a,b,a,a,a,b,a,a,b,c,b,a,a,a,a,a,c,c,a,a,a,c,a,a,a,a,a,b,a,a,a,a,a,a,b,c,a,a,a,a,a,a,a,a
7,NewMedia7,b,b,b,b,b,b,d,b,b,b,d,d,a,b,c,b,b,a,b,b,b,d,b,b,b,b,b,b,a,b,b,b,a,a,b,a,b,b,d,b,b,a,b,b,b,b,b,m,d
8,NewMedia8,c,b,c,b,a,b,b,c,c,a,c,c,c,b,c,b,c,c,c,b,b,b,c,b,c,c,a,b,c,c,b,b,d,b,b,c,c,c,b,b,c,c,b,c,c,c,c,c,c
9,NewMedia9,b,b,b,b,b,b,b,b,b,c,b,a,b,b,b,b,b,b,b,d,b,a,b,b,b,b,a,b,a,b,b,b,b,b,b,b,b,b,d,a,b,b,d,b,a,a,b,c,b
10,NewMedia10,d,a,a,a,c,a,a,a,a,a,a,b,a,a,b,a,b,a,a,b,a,a,a,a,a,a,a,a,a,b,a,b,a,a,a,a,a,c,a,b,a,d,a,a,b,a,b,c,a
11,NewMedia11,b,b,b,b,b,b,b,b,b,c,c,d,b,b,c,b,b,b,b,b,c,c,b,b,b,b,b,b,b,b,c,b,c,b,a,b,b,c,d,b,b,b,c,b,b,b,b,b,b
12,NewMedia12,d,d,d,d,d,d,d,d,d,c,d,d,b,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,c,d,d,d,d,d,d,b,d,d,d,d,d,d
13,NewMedia13,d,a,d,d,d,d,d,d,d,d,c,d,b,d,d,d,d,d,d,d,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
14,NewMedia14,a,a,d,a,a,d,a,d,a,b,a,a,a,d,a,a,b,a,a,a,a,a,b,d,a,a,c,b,a,a,a,a,b,a,d,a,a,a,c,a,a,a,a,a,a,a,b,a,a
15,NewMedia15,c,c,c,d,a,c,c,c,c,d,b,a,c,c,b,a,c,b,c,c,c,a,c,c,c,c,a,a,d,c,c,c,a,c,a,c,c,d,c,c,c,c,d,c,a,a,c,c,c
16,NewMedia16,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b
17,NewMedia17,b,b,b,a,b,b,a,b,a,b,a,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,a,b,b,b,b,c,b,b,b,b,b,b
18,NewMedia18,a,b,a,a,b,b,b,a,c,c,c,a,c,a,b,b,a,a,a,a,c,a,a,a,a,a,a,b,a,b,a,a,b,a,a,a,a,a,a,b,a,a,b,a,c,a,a,c,a
19,NewMedia19,b,d,b,b,b,b,a,b,b,d,c,b,b,b,c,b,b,a,b,b,d,a,b,b,b,b,b,b,b,d,b,b,a,b,c,b,b,b,a,b,b,b,b,b,b,b,c,d,b
20,NewMedia20,c,c,d,c,a,a,a,b,c,d,d,c,c,c,d,c,c,d,c,c,c,c,c,c,c,c,c,d,c,c,c,c,c,c,d,c,c,c,c,c,c,c,c,c,c,c,c,c,c
21,NewMedia21,b,b,d,b,b,b,b,b,b,b,b,d,b,b,c,c,b,c,a,c,b,b,c,b,b,a,b,b,c,b,b,b,a,b,c,b,b,b,b,a,b,b,b,b,b,b,a,b,b
22,NewMedia22,d,a,d,d,d,d,a,d,d,d,a,c,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,b,a,a,d,d,c,d,d,d,d,d,d,d,d,d,d,a,d
23,NewMedia23,d,d,c,d,d,d,d,c,d,d,c,d,c,c,a,d,d,c,d,d,d,d,c,d,c,d,d,d,d,d,d,d,c,d,d,d,c,c,d,d,c,d,d,c,c,a,c,d,d
24,NewMedia24,b,b,b,b,b,b,b,b,b,a,b,b,b,b,d,b,b,b,b,b,b,d,b,b,b,a,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
